Object_ID;School_District_Code;School_District_Name;shape
16;426;Oklahoma City;POLYGON ((2129519.7629018575 169402.77187260985, 2134769.5860636085 169415.53595468402, 2134774.6050824374 172099.66805359721, 2134769.7891471982 172936.88291460276, 2134766.0699945241 174572.69001044333, 2133670.1000736058 173394.38003110886, 2133050.1200143546 173389.09001544118, 2131495.440052852 172255.25993402302, 2131265.4500272721 172253.56997677684, 2131071.9599286914 172052.07989418507, 2130981.9601086974 172051.40010552108, 2130986.1300478578 171030.20004819334, 2130321.1858396977 171032.09407326579, 2130148.7301478535 170390.61012001336, 2129513.6300401092 170390.61012001336, 2129519.7629018575 169402.77187260985))
17;420;Millwood;POLYGON ((2134592.029988274 195913.81990027428, 2134614.4800746143 193261.19987744093, 2135887.7390110195 193271.3750539422, 2135887.52313219 195914.92390069366, 2134592.029988274 195913.81990027428))
18;426;Oklahoma City;POLYGON ((2174005.0000466853 196071.18999235332, 2175387.5520716161 196096.71585993469, 2175392.8230584413 198695.96394227445, 2173995.2169297785 198697.41308635473, 2174005.0000466853 196071.18999235332))
19;076;Union City;POLYGON ((2018868.5580236018 155846.68809244037, 2018942.4371409416 137341.60797668993, 2019029.7499584407 122371.25996468961, 2021057.059880197 122865.52013102174, 2021809.0751084387 123399.34288227558, 2021806.2690116912 132121.89499093592, 2021806.3940114379 137351.124033764, 2021793.3041426092 142638.53996810317, 2021793.3720558584 145202.90393385291, 2026809.9768520296 145202.08897484839, 2026821.4039945304 147908.03500652313, 2024225.3370081931 147922.70787744224, 2024224.7061039358 148543.16595409811, 2026814.4151633531 148544.59016385674, 2026818.7888422757 153176.15800043941, 2026806.8449685276 155823.68912269175, 2021583.6979345232 155837.37085385621, 2018910.9559046924 155846.69498218596, 2018868.5580236018 155846.68809244037))
20;412;Putnam City;POLYGON ((2089871.1601126045 187005.31015826762, 2089943.4998629391 187005.27013210952, 2090231.149878189 186927.58984127641, 2090501.589954108 186715.56008160114, 2090501.2100336105 186477.47984910011, 2091829.7398568541 186486.28987085819, 2091821.4101491123 187742.85986426473, 2089870.0800622702 187729.93010009825, 2089871.1601126045 187005.31015826762))
21;426;Oklahoma City;POLYGON ((2097921.5199961066 166456.82008735836, 2097936.9901095182 164016.28986343741, 2100771.7600305229 164030.46011067927, 2100771.5100310296 164108.74013786018, 2100547.8500452787 164231.04009009898, 2100425.8601317704 164129.32014918327, 2100393.0600005239 164156.18000359833, 2099959.8000402749 164787.53996135294, 2099884.7998621911 164940.37987877429, 2099866.6099379361 165109.68990759552, 2100617.5300240219 165110.37986685336, 2100617.5300240219 165158.34007276595, 2100939.6599571854 165158.34007276595, 2100939.6599571854 165175.6901036799, 2100699.6601091027 165175.6901036799, 2100699.6601091027 165875.69001601636, 2100942.8600820303 165875.69001601636, 2100937.2600276023 166644.82003943622, 2100751.1199799478 166645.40993326902, 2100751.1199799478 166614.51006068289, 2100732.9198851138 166610.80993685126, 2100680.6201209426 166601.30995585024, 2100628.020160526 166593.60984002054, 2100575.1200038642 166587.80998285115, 2100522.1201098561 166583.80999085307, 2100469.020150438 166581.60986402631, 2100415.9198629409 166581.41006127, 2100362.7198381126 166583.010123685, 2100309.7199441046 166586.41005127132, 2100219.0101517737 166597.16987226903, 2100177.9200108647 166603.11014910042, 2100129.4000947773 166612.18001285195, 2100073.820153445 166624.61010609567, 2100022.319928363 166638.11007910967, 2099961.8200493604 166657.21010652184, 2099773.1199674457 166657.21010652184, 2099773.1199674457 166826.11003118753, 2099048.1201051027 166826.11003118753, 2099048.1201051027 166682.10999110341, 2097921.5199961066 166456.82008735836))
22;119;Norman;POLYGON ((2153738.7518653572 96814.356026098132, 2153496.7270869464 96815.704120516777, 2153496.7270869464 95834.671961858869, 2151098.4129859358 95828.068956688046, 2151100.2059613615 94498.600158929825, 2153739.3171529472 94499.09097160399, 2153738.7518653572 96814.356026098132))
23;119;Norman;POLYGON ((2156343.9818911105 96637.3760651052, 2156344.6971127689 95821.378025189042, 2156901.9230324477 95821.378025189042, 2156899.3068959415 96640.213001683354, 2156343.9818911105 96637.3760651052))
24;119;Norman;POLYGON ((2164128.4509021938 109138.21884551644, 2164128.58311978 106496.2651399374, 2166662.5199810266 106507.16013127565, 2166654.5659286976 109134.06498242915, 2164128.4509021938 109138.21884551644))
25;116;Moore;POLYGON ((2164029.15090394 124882.48394484818, 2164029.1620587707 124869.70903602242, 2164037.3841551989 122271.78805077076, 2164065.8129041046 117468.29700160027, 2164076.2738411874 112048.45908801258, 2164128.4509021938 109138.21884551644, 2166654.5659286976 109134.06498242915, 2166646.1299219429 114422.45007494092, 2174572.3000931889 114434.24992009997, 2174573.5901168585 117070.28008110821, 2193017.3101191074 117118.94008876383, 2192951.5500800312 124994.69599077106, 2177203.0300679356 124922.2161488533, 2164043.0829626918 124882.59614935517, 2164029.15090394 124882.48394484818))
26;116;Moore;POLYGON ((2166646.1299219429 114422.45007494092, 2166654.5659286976 109134.06498242915, 2172089.5058461875 109137.2158947736, 2182599.0809556097 109165.73289810121, 2187855.4231331944 109156.89498926699, 2193017.3019170314 109159.65187351406, 2195474.8330911994 109180.36607094109, 2195474.8330911994 117063.57208926976, 2195475.8229186088 124996.22584335506, 2192951.5461430252 124995.21600285172, 2193017.3101191074 117118.94008876383, 2174573.5901168585 117070.28008110821, 2174572.3000931889 114434.24992009997, 2166646.1299219429 114422.45007494092))
27;422;Mid-Del City;POLYGON ((2192931.2299106866 127667.8901194334, 2192951.5461430252 124995.21600285172, 2195475.8229186088 124996.22584335506, 2195476.9698979408 127665.23001976311, 2192931.2299106866 127667.8901194334))
28;118;Robin Hill;POLYGON ((2148376.0749266893 122201.65006768703, 2148394.8721331954 116951.9000685215, 2148395.989913106 111718.68710976839, 2148407.5361498594 111718.75896002352, 2151028.0469849408 111735.15098761022, 2151074.8861301094 109037.66196002066, 2148563.0768492818 109034.38998493552, 2148563.1660879403 106395.35884568095, 2151064.9199426919 106425.05990177393, 2153350.3461461067 106439.63303534687, 2156312.4701431096 106458.52013668418, 2164128.58311978 106496.2651399374, 2164128.4509021938 109138.21884551644, 2164076.2738411874 112048.45908801258, 2164065.8129041046 117468.29700160027, 2164037.3841551989 122271.78805077076, 2164029.1620587707 124869.70903602242, 2164029.15090394 124882.48394484818, 2161269.5310951024 124860.2169290185, 2156098.0020681024 124851.69890142977, 2150940.9198626131 124835.99486459792, 2150940.0809535235 122201.25111834705, 2148376.0749266893 122201.65006768703))
29;496;McLoud;POLYGON ((2195476.9698979408 127665.23001976311, 2195475.8229186088 124996.22584335506, 2198067.1750193536 124998.68384368718, 2198032.3899839371 127662.56007760763, 2195476.9698979408 127665.23001976311))
30;426;Oklahoma City;POLYGON ((2129645.9998541027 153633.0701443553, 2132233.008131519 153636.8319478482, 2132227.7079452723 156136.45096434653, 2129630.3630743623 156131.88502860069, 2129645.9998541027 153633.0701443553))
31;426;Oklahoma City;POLYGON ((2094556.9601241946 211483.4898763597, 2094564.8200166076 209508.10996885598, 2094898.9299126863 208840.42003126442, 2094688.9300046116 208839.13985010982, 2094920.2901061922 207486.8200481832, 2094977.1699136943 207284.320125103, 2095074.8101383597 207098.01997277141, 2095274.0600679368 206874.54010477662, 2095274.0200417787 206793.30010977387, 2094578.5499760211 206793.30010977387, 2094578.5499760211 206226.29993143678, 2095785.709963277 206233.31008802354, 2095786.1000543535 206167.32006251812, 2097203.0601469427 206175.55003294349, 2097202.8800291866 206166.40011684597, 2098563.8700893521 206165.4900136888, 2098571.649929449 203901.96009193361, 2098134.1701613516 203903.31015485525, 2098140.2698866874 203819.53998118639, 2098157.3800886869 203688.68000668287, 2098183.1700633615 203561.28984151781, 2099896.47995694 203560.90007852018, 2099899.0101356059 203230.96012160182, 2099920.5999874473 203230.84004309773, 2099901.9701034427 203172.37001568079, 2099835.17004019 202838.01996260881, 2099820.750121519 202673.97009384632, 2100202.2099885195 202666.0800177753, 2100202.2300016135 202057.34993602335, 2099905.0800053626 202067.15995576978, 2099906.30998978 201713.07995526493, 2099874.8599214405 201718.82010127604, 2099838.8501509428 201476.10011427104, 2099908.9198926985 201445.27012343705, 2099908.3299988657 201177.31987193227, 2100082.5799784362 201112.92990885675, 2100367.2998814434 201088.74983909726, 2100343.8901513517 200856.26998910308, 2100283.2698657811 200864.16990768909, 2100297.6999550313 200704.5898462683, 2100314.6900785267 200624.56015068293, 2100337.9000058621 200571.49004685879, 2100364.8100570291 200529.39990793169, 2100398.9500806034 200490.23988126218, 2100435.9299935251 200458.59001018107, 2100239.9100443572 200269.19012652338, 2100239.5599794388 200029.18995034695, 2100340.7500657737 200029.14992418885, 2100340.7500657737 199823.29994218051, 2100197.6099321097 199661.89016002417, 2100129.6599367708 199483.7901225239, 2100127.4801511019 199468.44008760154, 2100131.0099996924 199455.76983734965, 2100138.0798674375 199446.11007976532, 2100146.9099022746 199439.90996094048, 2100407.7699448615 199336.50006276369, 2100564.8500112742 199226.33985002339, 2101100.7498581111 199133.03983977437, 2101033.7601626962 198808.9299236834, 2100956.5700283647 198519.19986009598, 2100883.4399252683 198321.63004526496, 2100795.1901017725 198130.34007352591, 2100739.5501211882 198021.08996394277, 2100640.6198728532 197781.3699709326, 2100589.1199758649 197577.1899331063, 2100564.3798678517 197368.06994451582, 2100559.6400479376 197278.49991369247, 2100553.1200478524 197096.62002810836, 2100551.6499064416 196932.62987051904, 2100518.6801561117 196928.1400500983, 2100527.7798754424 196617.05012109876, 2100542.3598987758 196406.83991160989, 2100544.7299727798 196306.93000642955, 2100557.2499608546 196213.81011393666, 2100572.9900868535 196145.61996160448, 2100596.1301324368 196073.25002759695, 2100620.3899264485 196014.03984418511, 2100658.2100607753 195939.99996602535, 2100990.1900398582 195639.68987110257, 2102048.3099708557 195664.61993935704, 2102118.2901458591 195490.68984101713, 2102313.7999254465 195495.59009368718, 2102313.7999254465 195465.59015367925, 2102353.780160442 195466.5901516825, 2102353.780160442 195496.59009169042, 2102473.1900266111 195499.57007260621, 2102468.8101141155 195674.51985393465, 2103128.6299886853 195690.05984909832, 2103127.8501346111 195723.049940601, 2108405.9799982756 195770.58002926409, 2108397.9600011855 200008.41997876763, 2108746.6600911915 200008.41997876763, 2108713.7198683619 200308.42003493011, 2108397.520041436 200308.42003493011, 2108396.3100701123 200955.75994759798, 2105215.6901190281 200938.46995593607, 2105207.8800952733 203569.46994327009, 2103856.5901469439 203572.38004243374, 2103857.6898822784 203801.02984760702, 2103495.1699380279 203803.24014501274, 2103488.8100426048 203661.41004809737, 2103220.5700935274 203692.45985476673, 2102572.4798542708 203693.13012902439, 2102571.8601048589 204033.63994668424, 2103236.8600871861 204034.71015451849, 2103604.3898639381 204011.91984577477, 2103873.9300072789 204010.07995443046, 2103902.6300811023 204092.19986893237, 2103928.1700562686 204141.99996618927, 2103960.1099530309 204190.38011877239, 2103999.9701095223 204237.81998452544, 2104095.1700503528 204335.59997268021, 2104155.399916783 204404.0699800998, 2104443.8199436069 204380.94010509551, 2104659.3198406994 204381.90991944075, 2104891.1500856876 204370.94012510777, 2105208.1999765188 204370.94012510777, 2105192.0700875223 211495.96983827651, 2094556.9601241946 211483.4898763597))
32;071;Piedmont;POLYGON ((2012478.248953864 237729.01809385419, 2012484.8670508564 236505.94803343713, 2012490.834886685 235320.37002402544, 2012491.2279305309 235257.75991301239, 2012492.0589656085 235102.32912151515, 2012492.1550940275 235083.82194069028, 2015129.6370237768 235075.54111735523, 2015147.5129722804 232456.71006894112, 2015147.8679584414 232444.65989618003, 2015215.9419692755 227109.46190518141, 2016314.8751388639 227098.544932276, 2016314.9840625226 227149.28794102371, 2017855.4389868528 227132.95299993455, 2019664.5580720305 227124.82014217973, 2020498.3451183587 227110.2020611912, 2020525.0511016995 221831.50690993667, 2020534.3348757774 216512.16912344098, 2023209.8679105192 216520.99915826321, 2023229.070956111 213905.49585910141, 2025748.8789086044 213902.20288668573, 2025727.252967611 211259.0818606019, 2028441.7370399386 211253.20785659552, 2028427.546123445 213924.92200134695, 2028415.6081551909 218075.20897635818, 2028420.2800618559 221791.33999551833, 2028427.6370025277 227062.40786543489, 2028419.3099194467 229702.3999607712, 2040253.6599383652 229758.70988751948, 2040254.8800802827 227134.05995310843, 2044165.8371533602 227181.90795451403, 2049491.4298486114 227144.20986717939, 2049457.0900222808 232509.27984568477, 2067956.3450184464 232610.32688768208, 2067916.378891021 248451.01108552516, 2067644.6100776047 248450.67808093131, 2066600.09904328 248448.92611593008, 2065312.9480742812 248446.75912551582, 2065317.9779198617 250928.62292818725, 2065318.225950852 251049.24801501632, 2062715.6199356019 251051.53016269207, 2062680.0370015204 256353.35584510863, 2065319.4818538576 256363.11599618196, 2065319.3539013565 256442.71098135412, 2065315.4559432715 259017.36888976395, 2065287.7640695274 264433.80687576532, 2061782.8478510231 264340.34610468149, 2061383.8411031067 264362.35393469036, 2060079.7570971102 264352.93991151452, 2060078.1101187766 261651.7520724386, 2057427.5940943658 261629.16189451516, 2057421.0160235316 264311.59714643657, 2057216.5508812815 264312.45803710818, 2054649.557983771 264323.96195110679, 2052175.2499402761 264310.84714794159, 2051225.3958688527 264313.92916277051, 2051201.6498533636 264313.86092144251, 2049325.3589865267 264331.83496685326, 2049311.7599323541 266005.89493893087, 2049308.64412494 266376.089080438, 2049307.2261487693 266564.2799770236, 2049305.43415761 266779.77101585269, 2049294.6671187729 268079.27005727589, 2049282.1198997796 269590.62005293369, 2049179.5351311862 269576.39107877016, 2044029.7278455198 269543.30485884845, 2038811.3829672784 269467.67804160714, 2036131.5428545326 269451.67905785143, 2036159.0929962695 264217.12784717977, 2036037.0338571966 264215.72594709694, 2034427.0551217794 264211.99695193768, 2033610.0600366145 264268.38200977445, 2031039.9660954475 264212.09209610522, 2030955.37505728 264210.08914735913, 2028324.2438366115 264239.4519495219, 2025949.6239139438 264245.17601943016, 2024920.8198691905 264247.51197277009, 2023047.5431039482 264252.27705509961, 2022757.9078564495 264216.78500010073, 2022069.26290828 264221.32108026743, 2020388.0251290202 264229.89389777184, 2020431.9800936133 258918.91698694229, 2020432.1798963547 253561.23085193336, 2020318.1548619419 253560.55696876347, 2017832.1270256042 253608.25011485815, 2017807.6529931873 255591.34785468876, 2017806.9479421079 255677.24203985929, 2017562.3900322765 255677.04190902412, 2017562.3900322765 255552.11400927603, 2017190.1050156951 255549.61499851942, 2017200.0990901887 254792.55286435783, 2017784.7609786093 254792.55286435783, 2017797.2540638596 253608.2379757762, 2017798.5030771047 250941.03103984892, 2012562.3048881143 250933.63210451603, 2012575.6231029481 249342.10707235336, 2012484.3011071086 249342.10707235336, 2012494.0438697785 249184.86788551509, 2012514.5179101974 248223.90688093007, 2012503.90605478 245835.97104002535, 2012536.7678656876 242988.35403184593, 2012535.8718701154 242407.75414319336, 2012534.9499559402 241844.26215994358, 2012478.248953864 237729.01809385419), (2028305.5788476914 211591.39910934865, 2028305.9859991074 211486.88094568253, 2028096.5418641865 211486.06598669291, 2028097.350917697 211278.12184877694, 2027889.2109140307 211277.31213910878, 2027888.985848859 211590.70291651785, 2028305.5788476914 211591.39910934865))
33;071;Piedmont;POLYGON ((2028420.2800618559 221791.33999551833, 2028415.6081551909 218075.20897635818, 2028427.546123445 213924.92200134695, 2030966.1729359478 213915.76191468537, 2030966.000036031 216545.42496243119, 2033739.6378614455 216549.30815677345, 2033741.2969788611 213899.75899393857, 2036361.51385127 213892.60612110794, 2036357.3511299491 219198.66899977624, 2052281.0630488545 219183.23694401979, 2052311.897960946 208702.62109427154, 2054927.9370201975 208710.40815219283, 2054959.6370880306 206017.70815701783, 2057590.4969837815 206051.22383801639, 2057591.0389774442 208699.16604869068, 2060166.8881564438 208707.04300144315, 2065445.4340297729 208729.49505627155, 2065442.31789428 208952.02906002104, 2068058.0449462682 208953.47197051346, 2068058.448160693 211384.81914193928, 2068041.1680115312 216670.53396418691, 2068031.2628476024 219273.35585826635, 2067956.3450184464 232610.32688768208, 2049457.0900222808 232509.27984568477, 2049491.4298486114 227144.20986717939, 2044165.8371533602 227181.90795451403, 2040254.8800802827 227134.05995310843, 2040253.6599383652 229758.70988751948, 2028419.3099194467 229702.3999607712, 2028427.6370025277 227062.40786543489, 2028420.2800618559 221791.33999551833))
34;072;Yukon;MULTIPOLYGON (((2020528.7000445276 206012.34202602506, 2020533.0848782808 200695.96092651784, 2021567.1031514406 200695.87103168666, 2021555.0798815191 195556.25007735193, 2021562.9371492714 192844.45694452524, 2021554.334148109 187588.78011994064, 2029510.163052693 187616.03301818669, 2033530.6750247777 187613.41688168049, 2037252.8998637795 187608.99202176929, 2037256.9608792812 184957.01110526919, 2037273.1501513571 177049.81989867985, 2037296.6100781858 174415.27989219129, 2050475.440019697 174445.14006868005, 2050453.4400636852 179734.05009451509, 2053121.0698990226 179724.01993085444, 2053081.1569211036 184995.59797035158, 2053061.8898992687 187637.07004959881, 2055730.6299686134 187635.15994843841, 2055712.2149791867 190282.3971080184, 2055738.1788380295 195517.2229244411, 2055710.2199044377 200744.34993734956, 2049634.636911273 200724.40804810822, 2044709.5368533581 200712.90807110071, 2039046.4018541873 200697.77194651961, 2033771.1440320313 200683.025913015, 2028442.0900576115 200668.12994544208, 2028464.7999859452 205974.89590668678, 2028441.7370399386 211253.20785659552, 2025727.252967611 211259.0818606019, 2025748.8789086044 213902.20288668573, 2023396.4961461872 213905.69598993659, 2023229.070956111 213905.49585910141, 2020561.6819339395 213905.69598993659, 2020565.5841571093 211240.76693660021, 2020528.7000445276 206012.34202602506)), ((2027888.985848859 211590.70291651785, 2027889.2109140307 211277.31213910878, 2028097.350917697 211278.12184877694, 2028096.5418641865 211486.06598669291, 2028305.9859991074 211486.88094568253, 2028305.5788476914 211591.39910934865, 2027888.985848859 211590.70291651785)))
