Object_ID;School_Name;shape
26;CHRIST THE KING CATHOLIC SCHOOL;POLYGON ((2100147.5900190324 201728.61995044351, 2100037.0200301856 201627.10998284817, 2099969.7399810255 201682.3798854351, 2099911.2601111084 201730.42014369369, 2099871.3500859439 201729.15997560322, 2099822.13988252 201510.81001859903, 2099891.5101506114 201497.66995301843, 2099959.5398701876 201476.77006043494, 2100018.2900807709 201451.60016326606, 2100049.7001229376 201435.11988127232, 2100080.079983443 201416.92011451721, 2100231.2201011032 201338.85990318656, 2100291.929953441 201323.16997393966, 2100352.4898716956 201313.91014993191, 2100383.1899415255 201628.02992852032, 2100346.0499239415 201631.25006642938, 2100309.2701418549 201638.33010476828, 2100273.4700166136 201649.14996501803, 2100239.0599804372 201663.64009352028, 2100232.78997986 201666.49999593198, 2100206.2299936116 201681.39005802572, 2100185.4400089383 201695.57014776766, 2100147.5900190324 201728.61995044351))
27;WEST NICHOLS HILLS ES;POLYGON ((2100189.4698565304 202079.00999768078, 2100191.9199828655 202224.40996935964, 2100192.1601398587 202255.50997276604, 2100193.180150941 202389.47984918952, 2100193.9898606092 202494.9599531889, 2100194.5699119419 202571.36990535259, 2100195.1499632746 202645.97999235988, 2100095.3499660194 202649.24999894202, 2100021.7598901093 202651.66009910405, 2099953.0999224484 202653.89992402494, 2099938.3000832796 202654.39008052647, 2099852.9298471957 202657.18010118604, 2099833.460069865 202524.28994701803, 2099829.440064773 202468.71000568569, 2099822.6100259423 202414.57002210617, 2099814.7399629354 202369.74990177155, 2099802.6999607682 202316.4399690181, 2099750.6200124472 202098.09001201391, 2100189.4698565304 202079.00999768078))
28;JOHNSON ES;POLYGON ((2100890.6498846114 205341.53988993168, 2101500.7900685221 205348.40995493531, 2101553.9198835194 205354.09990417957, 2101600.269856438 205364.46996217966, 2101645.2599239349 205379.69007609785, 2101691.4301071912 205401.23990176618, 2101697.2299643606 205405.98989227414, 2101701.2299563587 205413.75988985598, 2101701.5399951041 205422.48001676798, 2101698.7499744445 205429.56005510688, 2101535.8500377685 205686.53985610604, 2101498.0098903626 205734.3999966085, 2101454.2799909413 205776.97996394336, 2101405.3998393565 205813.57011385262, 2101379.2699703574 205829.42999027669, 2101348.3700977713 205845.36991901696, 2101296.2301101983 205861.92008276284, 2101242.4900601953 205872.25995710492, 2101187.8901037723 205876.23993602395, 2101136.5001146942 205874.15988768637, 2101104.4401394427 205794.80013826489, 2101065.3401520252 205707.81015476584, 2101022.7099879384 205622.45008927584, 2100976.6300276071 205538.8600333482, 2100873.3700635284 205372.17992052436, 2100870.3500564396 205362.65992642939, 2100872.8799070269 205351.76001384854, 2100879.7899981886 205344.55005452037, 2100890.6498846114 205341.53988993168))
29;MUSTANG TRAILS ES;POLYGON ((2045944.2489508539 163913.79105268419, 2046441.1121303588 163926.02888910472, 2046446.0071336925 164652.96608352661, 2045939.3539475203 164652.96608352661, 2045944.2489508539 163913.79105268419))
30;UNKNOWN NEAR SANTA FE IN MOORE;POLYGON ((2114076.4250221848 122413.61388260126, 2114072.1061331928 122275.39007768035, 2114445.0240225196 122271.06987635791, 2114459.4219596088 122272.5101621896, 2114469.501007691 122263.87107186019, 2114478.1400980204 122249.47313477099, 2114483.8999290317 122243.71297568083, 2114489.6591038555 122233.6339275986, 2114498.297866106 122222.11590601504, 2114505.4969986975 122132.846071437, 2114640.8418723643 122131.40611368418, 2114637.9619568586 122419.37404169142, 2114076.4250221848 122413.61388260126))
31;FISHER ES;POLYGON ((2099965.2531133592 128422.49195668101, 2099965.2531133592 128103.70912969112, 2099989.4879730195 128072.01693585515, 2100000.6739742756 127661.88685059547, 2100464.8659592718 127680.52887368202, 2100489.1011470258 127691.71487493813, 2100500.2871482819 127706.62888710201, 2100496.5581531078 127863.22404634953, 2100394.0258778632 127986.26284226775, 2100321.3209707737 128124.21597844362, 2100224.3808759451 128295.72514985502, 2100183.3681626916 128362.836892277, 2100155.40496403 128388.93592143059, 2100123.7130982727 128405.71410310268, 2100088.2919092774 128420.62811526656, 2100054.735874027 128428.0851213485, 2099965.2531133592 128422.49195668101))
32;NORTHWEST CHRISTIAN SCHOOL;POLYGON ((2071342.4160021991 200354.663052693, 2071341.7539300323 200141.24090735614, 2071807.703129366 200142.56603594124, 2071756.0050700307 200257.23116093874, 2071752.0280438662 200265.18488518894, 2071748.0510176867 200271.15009635687, 2071746.0631607771 200353.99999627471, 2071342.4160021991 200354.663052693))
33;NICHOLS HILLS ES;POLYGON ((2105572.9298901111 200972.60013702512, 2106098.6401247829 200972.67986126244, 2106096.5699189454 201619.859997347, 2105973.4100602716 201620.60015335679, 2105851.4998710304 201621.33013877273, 2105670.3099446893 201622.40986101329, 2105659.5501236916 201593.92008860409, 2105649.0501446873 201565.99986885488, 2105622.689961195 201431.38005934656, 2105593.520072028 201282.34984560311, 2105583.1201584488 201125.94005343318, 2105572.9298901111 200972.60013702512))
34;BISHOP MCGUINESS CATHOLIC HS;POLYGON ((2108463.3099361062 191522.35985118151, 2108461.5100709349 190517.99014076591, 2109312.5700486153 190525.049837932, 2109278.8801553547 191858.64986102283, 2109277.355880186 191867.80207368731, 2109275.4520126134 191876.8821080178, 2109273.1688806862 191885.87487219274, 2109270.5130461156 191894.76396201551, 2109267.4881177694 191903.53395760059, 2109264.0990169495 191912.17107944191, 2109260.3509929478 191920.65793910623, 2109256.2529040277 191928.98108518124, 2109251.8099995255 191937.12608201802, 2109247.0301534384 191945.07685351372, 2109241.9228801876 191952.82191677392, 2109236.49605377 191960.346836105, 2109230.7588605285 191967.63914434612, 2109224.7231114358 191974.68407776952, 2109218.3979928643 191981.47113768756, 2109211.7940034419 191987.98785693944, 2109204.9239384383 191994.22209644318, 2109197.7989526987 192000.1649979353, 2109190.4318414479 192005.80409426987, 2109182.8360561132 192011.13085526228, 2109178.6730066985 192014.20204335451, 2109174.4190781862 192017.1459351033, 2109170.0778795183 192019.96089009941, 2109165.6540038586 192022.64395560324, 2109161.1520443559 192025.19185076654, 2109156.5749537796 192027.60391943157, 2109151.9269971997 192029.87688076496, 2109147.2130958587 192032.008110106, 2109142.4368586987 192033.99695126712, 2109137.6028788537 192035.84110768139, 2109132.7160776109 192037.53893893957, 2109127.7800638527 192039.08913268149, 2109122.8000869453 192040.48906427622, 2109117.7800838649 192041.73906177282, 2109112.7239916027 192042.83715668321, 2109107.6370595247 192043.7820366919, 2109102.5238807797 192044.57402984798, 2109097.3900327682 192045.21083959937, 2109092.2391244471 192045.69410635531, 2109087.0760770291 192046.0208773464, 2109079.4848848581 192046.00512935221, 2109071.8989420235 192045.71707218885, 2109064.3290752769 192045.15703393519, 2109056.7831586152 192044.32599885762, 2109049.2720187753 192043.22495119274, 2109041.8061544448 192041.85585944355, 2109034.393111527 192040.22003594041, 2109027.0430606157 192038.31912110746, 2109019.7671565264 192036.15606768429, 2109012.571960941 192033.73415651917, 2109005.46994102 192031.05502802134, 2108998.4670022726 192028.12393151224, 2108991.5749556869 192024.94316360354, 2108984.8000348657 192021.51797360182, 2108978.1530665308 192017.85098618269, 2108971.6409404427 192013.95007535815, 2108965.274155274 192009.81589727104, 2108959.0589446127 192005.45796635747, 2108953.0038386136 192000.87890726328, 2108947.1170393527 191996.08692210913, 2108486.5100209415 191586.65007694066, 2108484.129120186 191584.058874771, 2108481.8581273556 191581.37088802457, 2108479.7019636929 191578.59103792906, 2108477.66292578 191575.7229334414, 2108475.7459348589 191572.77215193212, 2108473.9539436996 191569.74394276738, 2108472.2899050266 191566.64388334751, 2108470.7570996881 191563.47689493, 2108469.3581523597 191560.24789877236, 2108468.0950315297 191556.96411268413, 2108466.9700337797 191553.63012985885, 2108465.9851276129 191550.25185577571, 2108465.1419534385 191546.83585210145, 2108464.443135947 191543.38704010844, 2108463.8880189359 191539.91296568513, 2108463.4788990319 191536.41789393127, 2108463.2170885205 191532.90904268622, 2108463.1009470224 191529.39198935032, 2108463.1321149468 191525.87395176291, 2108463.3099361062 191522.35985118151))
35;BELLE ISLE ENTERPRISE SCHOOL;POLYGON ((2101014.7998987734 193027.09995193779, 2101109.1300906986 193028.80992226303, 2101109.3600771129 193055.40993468463, 2101138.2199275196 193055.96013043821, 2101137.4899421036 193168.93989135325, 2101136.82983844 193271.48004060984, 2101136.1900759488 193372.46015360951, 2101135.6999194473 193447.009873271, 2101134.9699340314 193561.73011626303, 2101134.2501191944 193673.20988018811, 2101133.6700678617 193763.17000210285, 2101133.5798449367 193776.83007976413, 2101133.0299772769 193861.94014577568, 2101132.3898866922 193961.10989493132, 2101131.9801106155 194025.69998885691, 2101055.2801327705 194024.59008294344, 2100978.6100105196 194023.46016393602, 2100897.1698846966 194022.26987759769, 2100821.2901151925 194021.15997168422, 2100742.2699320316 194020.01003959775, 2100665.4200201035 194018.88012060523, 2100586.7400593609 194017.7298604399, 2100506.6201408654 194016.55991527438, 2100504.5899611861 193017.88015410304, 2100597.9500106871 193019.57011134923, 2100683.9498386979 193021.13014760613, 2100762.5500751883 193022.53992168605, 2100840.1699986905 193023.95002385974, 2100926.1898397803 193025.49988952279, 2101014.7998987734 193027.09995193779))
